name	size	imports
flare.animate.Transitioner	19975	flare.util.IValueProxy|flare.animate.Parallel|flare.animate.Easing|flare.animate.Sequence|flare.animate.Transition|flare.animate.Tween|flare.util.Property
flare.animate.TransitionEvent	1116	flare.animate.Transition
flare.animate.Tween	6006	flare.animate.Transitioner|flare.animate.Transition|flare.animate.interpolate.Interpolator|flare.util.Property
flare.data.converters.Converters	721	flare.data.converters.IDataConverter|flare.data.converters.GraphMLConverter|flare.data.converters.JSONConverter|flare.data.converters.DelimitedTextConverter
flare.data.converters.DelimitedTextConverter	4294	flare.data.DataSet|flare.data.DataUtil|flare.data.DataTable|flare.data.converters.IDataConverter|flare.data.DataSchema|flare.data.DataField
flare.data.converters.GraphMLConverter	9800	flare.data.DataSet|flare.data.DataUtil|flare.data.DataTable|flare.data.converters.IDataConverter|flare.data.DataSchema|flare.data.DataField
flare.data.converters.IDataConverter	1314	flare.data.DataSet|flare.data.DataSchema
flare.data.converters.JSONConverter	2220	flare.data.DataSet|flare.data.DataUtil|flare.data.DataTable|flare.data.converters.IDataConverter|flare.data.DataSchema|flare.data.DataField|flare.util.Property
flare.data.DataField	1759	flare.data.DataUtil
flare.data.DataSchema	2165	flare.data.DataField|flare.util.Arrays
flare.data.DataSet	586	flare.data.DataTable
flare.data.DataSource	3331	flare.data.converters.IDataConverter|flare.data.converters.Converters|flare.data.DataSchema
flare.data.DataTable	772	flare.data.DataSchema
flare.data.DataUtil	3322	flare.data.DataField|flare.data.DataSchema
flare.display.DirtySprite	8833	
flare.display.LineSprite	1732	flare.display.DirtySprite
flare.display.RectSprite	3623	flare.util.Colors|flare.display.DirtySprite
flare.display.TextSprite	10066	flare.display.DirtySprite
flare.flex.FlareVis	4116	flare.display.DirtySprite|flare.data.DataSet|flare.vis.Visualization|flare.vis.axis.CartesianAxes|flare.vis.axis.Axes|flare.vis.data.Data
flare.physics.DragForce	1082	flare.physics.Simulation|flare.physics.Particle|flare.physics.IForce
flare.physics.GravityForce	1336	flare.physics.Simulation|flare.physics.Particle|flare.physics.IForce
flare.physics.IForce	319	flare.physics.Simulation
flare.physics.NBodyForce	10498	flare.physics.Simulation|flare.physics.Particle|flare.physics.IForce
flare.physics.Particle	2822	
flare.physics.Simulation	9983	flare.physics.Particle|flare.physics.NBodyForce|flare.physics.DragForce|flare.physics.GravityForce|flare.physics.Spring|flare.physics.SpringForce|flare.physics.IForce
flare.physics.Spring	2213	flare.physics.Particle
flare.physics.SpringForce	1681	flare.physics.Simulation|flare.physics.Particle|flare.physics.Spring|flare.physics.IForce
flare.query.AggregateExpression	1616	flare.query.Expression
flare.query.And	1027	flare.query.CompositeExpression|flare.query.Expression
flare.query.Arithmetic	3891	flare.query.BinaryExpression|flare.query.Expression
flare.query.Average	891	flare.query.Expression|flare.query.AggregateExpression
flare.query.BinaryExpression	2893	flare.query.Expression
flare.query.Comparison	5103	flare.query.Not|flare.query.BinaryExpression|flare.query.Expression|flare.query.Or
flare.query.CompositeExpression	3677	flare.query.Expression|flare.query.If
flare.query.Count	781	flare.query.Expression|flare.query.AggregateExpression
flare.query.DateUtil	4141	flare.query.Fn
flare.query.Distinct	933	flare.query.Expression|flare.query.AggregateExpression
flare.query.Expression	5130	flare.query.Variable|flare.query.IsA|flare.query.ExpressionIterator|flare.util.IPredicate|flare.query.Literal|flare.util.IEvaluable|flare.query.If
flare.query.ExpressionIterator	3617	flare.query.Expression
flare.query.Fn	3240	flare.query.DateUtil|flare.query.CompositeExpression|flare.query.Expression|flare.query.StringUtil
flare.query.If	2732	flare.query.Expression
flare.query.IsA	2039	flare.query.Expression|flare.query.If
flare.query.Literal	1214	flare.query.Expression
flare.query.Match	3748	flare.query.BinaryExpression|flare.query.Expression|flare.query.StringUtil
flare.query.Maximum	843	flare.query.Expression|flare.query.AggregateExpression
flare.query.methods.add	593	flare.query.methods.or|flare.query.Arithmetic
flare.query.methods.and	330	flare.query.And|flare.query.methods.or
flare.query.methods.average	287	flare.query.Average|flare.query.methods.or
flare.query.methods.count	277	flare.query.Count|flare.query.methods.or
flare.query.methods.distinct	292	flare.query.Distinct|flare.query.methods.or
flare.query.methods.div	595	flare.query.methods.or|flare.query.Arithmetic
flare.query.methods.eq	594	flare.query.Comparison|flare.query.methods.or
flare.query.methods.fn	460	flare.query.methods.or|flare.query.Fn
flare.query.methods.gt	603	flare.query.Comparison|flare.query.methods.or
flare.query.methods.gte	625	flare.query.Comparison|flare.query.methods.gt|flare.query.methods.eq|flare.query.methods.or
flare.query.methods.iff	748	flare.query.methods.or|flare.query.If
flare.query.methods.isa	461	flare.query.IsA|flare.query.methods.or
flare.query.methods.lt	597	flare.query.Comparison|flare.query.methods.or
flare.query.methods.lte	619	flare.query.Comparison|flare.query.methods.lt|flare.query.methods.eq|flare.query.methods.or
flare.query.methods.max	283	flare.query.Maximum|flare.query.methods.or
flare.query.methods.min	283	flare.query.Minimum|flare.query.methods.or
flare.query.methods.mod	591	flare.query.methods.or|flare.query.Arithmetic
flare.query.methods.mul	603	flare.query.methods.lt|flare.query.methods.or|flare.query.Arithmetic
flare.query.methods.neq	599	flare.query.Comparison|flare.query.methods.eq|flare.query.methods.or
flare.query.methods.not	386	flare.query.Not|flare.query.methods.or
flare.query.methods.or	323	flare.query.Or
flare.query.methods.orderby	307	flare.query.Query|flare.query.methods.or
flare.query.methods.range	772	flare.query.methods.max|flare.query.Range|flare.query.methods.or|flare.query.methods.min
flare.query.methods.select	296	flare.query.Query
flare.query.methods.stddev	363	flare.query.methods.and|flare.query.Variance|flare.query.methods.or
flare.query.methods.sub	600	flare.query.methods.or|flare.query.Arithmetic
flare.query.methods.sum	280	flare.query.Sum|flare.query.methods.or
flare.query.methods.update	307	flare.query.Query
flare.query.methods.variance	335	flare.query.Variance|flare.query.methods.or
flare.query.methods.where	299	flare.query.Query|flare.query.methods.lt|flare.query.methods.lte
flare.query.methods.xor	354	flare.query.Xor|flare.query.methods.or
flare.query.methods._	264	flare.query.Literal|flare.query.methods.or
flare.query.Minimum	843	flare.query.Expression|flare.query.AggregateExpression
flare.query.Not	1554	flare.query.Expression
flare.query.Or	970	flare.query.CompositeExpression|flare.query.Expression
flare.query.Query	13896	flare.query.Variable|flare.query.Sum|flare.query.Expression|flare.util.Sort|flare.query.Not|flare.query.AggregateExpression|flare.query.Literal|flare.util.Filter|flare.util.Property|flare.query.If
flare.query.Range	1594	flare.query.And|flare.query.Comparison|flare.query.Expression
flare.query.StringUtil	4130	flare.query.Fn
flare.query.Sum	791	flare.query.Expression|flare.query.AggregateExpression
flare.query.Variable	1124	flare.query.Expression|flare.util.Property
flare.query.Variance	1876	flare.query.Expression|flare.query.AggregateExpression
flare.query.Xor	1101	flare.query.CompositeExpression|flare.query.Expression
flare.scale.IScaleMap	2105	flare.scale.Scale
flare.scale.LinearScale	1316	flare.util.Maths|flare.util.Strings|flare.scale.Scale|flare.scale.QuantitativeScale|flare.scale.ScaleType
flare.scale.LogScale	3151	flare.util.Maths|flare.util.Strings|flare.scale.Scale|flare.scale.QuantitativeScale|flare.scale.ScaleType
flare.scale.OrdinalScale	3770	flare.scale.ScaleType|flare.util.Arrays|flare.scale.Scale
flare.scale.QuantileScale	2435	flare.util.Maths|flare.util.Strings|flare.scale.Scale|flare.scale.ScaleType
flare.scale.QuantitativeScale	4839	flare.util.Maths|flare.util.Strings|flare.scale.Scale
flare.scale.RootScale	1756	flare.util.Maths|flare.util.Strings|flare.scale.Scale|flare.scale.QuantitativeScale|flare.scale.ScaleType
flare.scale.Scale	4268	flare.scale.ScaleType|flare.util.Strings
flare.scale.ScaleType	1821	flare.scale.Scale
flare.scale.TimeScale	5833	flare.util.Maths|flare.util.Dates|flare.scale.Scale|flare.scale.ScaleType
flare.util.Arrays	8258	flare.util.IValueProxy|flare.util.Property|flare.util.IEvaluable
flare.util.Colors	10001	flare.util.Filter
flare.util.Dates	8217	flare.util.Maths
flare.util.Displays	12555	flare.util.IValueProxy|flare.util.Filter|flare.util.Property|flare.util.IEvaluable|flare.util.Sort
flare.util.Filter	2324	flare.util.IPredicate|flare.util.Property
flare.util.Geometry	10993	
flare.util.heap.FibonacciHeap	9354	flare.util.heap.HeapNode
flare.util.heap.HeapNode	1233	flare.util.heap.FibonacciHeap
flare.util.IEvaluable	335	
flare.util.IPredicate	383	
flare.util.IValueProxy	874	
flare.util.math.DenseMatrix	3165	flare.util.math.IMatrix
flare.util.math.IMatrix	2815	
flare.util.math.SparseMatrix	3366	flare.util.math.IMatrix
flare.util.Maths	17705	flare.util.Arrays
flare.util.Orientation	1486	
flare.util.palette.ColorPalette	6367	flare.util.palette.Palette|flare.util.Colors
flare.util.palette.Palette	1229	
flare.util.palette.ShapePalette	2059	flare.util.palette.Palette|flare.util.Shapes
flare.util.palette.SizePalette	2291	flare.util.palette.Palette
flare.util.Property	5559	flare.util.IPredicate|flare.util.IValueProxy|flare.util.IEvaluable
flare.util.Shapes	19118	flare.util.Arrays
flare.util.Sort	6887	flare.util.Arrays|flare.util.Property
flare.util.Stats	6557	flare.util.Arrays|flare.util.Property
flare.util.Strings	22026	flare.util.Dates|flare.util.Property
flare.vis.axis.Axes	1302	flare.animate.Transitioner|flare.vis.Visualization
flare.vis.axis.Axis	24593	flare.animate.Transitioner|flare.scale.LinearScale|flare.util.Arrays|flare.scale.ScaleType|flare.util.Strings|flare.display.TextSprite|flare.scale.Scale|flare.util.Stats|flare.scale.IScaleMap|flare.vis.axis.AxisLabel|flare.vis.axis.AxisGridLine
flare.vis.axis.AxisGridLine	652	flare.vis.axis.Axis|flare.display.LineSprite
flare.vis.axis.AxisLabel	636	flare.vis.axis.Axis|flare.display.TextSprite
flare.vis.axis.CartesianAxes	6703	flare.animate.Transitioner|flare.display.RectSprite|flare.vis.axis.Axis|flare.display.TextSprite|flare.vis.axis.Axes|flare.vis.Visualization|flare.vis.axis.AxisGridLine
flare.vis.controls.AnchorControl	2138	flare.vis.controls.Control|flare.vis.Visualization|flare.vis.operator.layout.Layout
flare.vis.controls.ClickControl	3824	flare.vis.events.SelectionEvent|flare.vis.controls.Control
flare.vis.controls.Control	1353	flare.vis.controls.IControl|flare.util.Filter
flare.vis.controls.ControlList	4665	flare.vis.controls.IControl|flare.util.Arrays|flare.vis.Visualization|flare.vis.controls.Control
flare.vis.controls.DragControl	2649	flare.vis.controls.Control|flare.vis.data.DataSprite
flare.vis.controls.ExpandControl	2832	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.vis.controls.Control|flare.vis.Visualization
flare.vis.controls.HoverControl	4896	flare.vis.events.SelectionEvent|flare.vis.controls.Control
flare.vis.controls.IControl	763	flare.vis.controls.Control
flare.vis.controls.PanZoomControl	5222	flare.util.Displays|flare.vis.controls.Control
flare.vis.controls.SelectionControl	7862	flare.vis.events.SelectionEvent|flare.vis.controls.Control
flare.vis.controls.TooltipControl	8435	flare.animate.Tween|flare.display.TextSprite|flare.vis.controls.Control|flare.vis.events.TooltipEvent
flare.vis.data.Data	20544	flare.vis.data.EdgeSprite|flare.vis.data.NodeSprite|flare.util.Arrays|flare.vis.data.DataSprite|flare.vis.data.Tree|flare.vis.events.DataEvent|flare.data.DataSet|flare.vis.data.TreeBuilder|flare.vis.data.DataList|flare.data.DataSchema|flare.util.Sort|flare.data.DataField|flare.util.Property
flare.vis.data.DataList	19788	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.util.Arrays|flare.util.math.DenseMatrix|flare.vis.data.DataSprite|flare.vis.data.EdgeSprite|flare.vis.events.DataEvent|flare.util.Stats|flare.util.math.IMatrix|flare.util.Sort|flare.util.Filter|flare.util.Property|flare.util.IEvaluable|flare.vis.data.Data
flare.vis.data.DataSprite	10349	flare.util.Colors|flare.vis.data.Data|flare.display.DirtySprite|flare.vis.data.render.IRenderer|flare.vis.data.render.ShapeRenderer
flare.vis.data.EdgeSprite	3301	flare.vis.data.render.EdgeRenderer|flare.vis.data.DataSprite|flare.vis.data.NodeSprite|flare.vis.data.render.ArrowType|flare.vis.data.Data
flare.vis.data.NodeSprite	19382	flare.animate.Transitioner|flare.util.Arrays|flare.vis.data.DataSprite|flare.vis.data.EdgeSprite|flare.vis.data.Tree|flare.util.Sort|flare.util.Filter|flare.util.IEvaluable|flare.vis.data.Data
flare.vis.data.render.ArrowType	698	
flare.vis.data.render.EdgeRenderer	5569	flare.vis.data.EdgeSprite|flare.vis.data.NodeSprite|flare.vis.data.DataSprite|flare.vis.data.render.IRenderer|flare.util.Shapes|flare.util.Geometry|flare.vis.data.render.ArrowType
flare.vis.data.render.IRenderer	353	flare.vis.data.DataSprite
flare.vis.data.render.ShapeRenderer	2247	flare.util.Shapes|flare.vis.data.render.IRenderer|flare.vis.data.DataSprite
flare.vis.data.ScaleBinding	11275	flare.scale.TimeScale|flare.scale.ScaleType|flare.scale.LinearScale|flare.scale.LogScale|flare.scale.OrdinalScale|flare.scale.RootScale|flare.scale.Scale|flare.scale.QuantileScale|flare.util.Stats|flare.scale.QuantitativeScale|flare.vis.events.DataEvent|flare.vis.data.Data
flare.vis.data.Tree	7147	flare.vis.data.EdgeSprite|flare.vis.events.DataEvent|flare.vis.data.NodeSprite|flare.vis.data.Data
flare.vis.data.TreeBuilder	9930	flare.vis.data.EdgeSprite|flare.vis.data.NodeSprite|flare.vis.data.Tree|flare.util.heap.HeapNode|flare.util.heap.FibonacciHeap|flare.util.Property|flare.util.IEvaluable|flare.vis.data.Data
flare.vis.events.DataEvent	2313	flare.vis.data.EdgeSprite|flare.vis.data.NodeSprite|flare.vis.data.DataList|flare.vis.data.DataSprite
flare.vis.events.SelectionEvent	1880	flare.vis.events.DataEvent
flare.vis.events.TooltipEvent	1701	flare.vis.data.EdgeSprite|flare.vis.data.NodeSprite
flare.vis.events.VisualizationEvent	1117	flare.animate.Transitioner
flare.vis.legend.Legend	20859	flare.animate.Transitioner|flare.vis.data.ScaleBinding|flare.util.palette.SizePalette|flare.scale.ScaleType|flare.vis.legend.LegendItem|flare.display.RectSprite|flare.display.TextSprite|flare.scale.Scale|flare.vis.legend.LegendRange|flare.util.Displays|flare.util.Orientation|flare.util.palette.ShapePalette|flare.util.palette.Palette|flare.util.palette.ColorPalette
flare.vis.legend.LegendItem	4614	flare.util.Shapes|flare.display.TextSprite|flare.vis.legend.Legend|flare.display.RectSprite
flare.vis.legend.LegendRange	10530	flare.util.Colors|flare.vis.legend.Legend|flare.display.RectSprite|flare.display.TextSprite|flare.scale.Scale|flare.util.Stats|flare.scale.IScaleMap|flare.util.Orientation|flare.util.palette.ColorPalette
flare.vis.operator.distortion.BifocalDistortion	4461	flare.vis.operator.distortion.Distortion
flare.vis.operator.distortion.Distortion	6314	flare.animate.Transitioner|flare.vis.data.DataSprite|flare.vis.events.VisualizationEvent|flare.vis.axis.Axis|flare.vis.axis.CartesianAxes|flare.vis.operator.layout.Layout|flare.vis.data.Data
flare.vis.operator.distortion.FisheyeDistortion	3444	flare.vis.operator.distortion.Distortion
flare.vis.operator.encoder.ColorEncoder	3179	flare.animate.Transitioner|flare.scale.ScaleType|flare.vis.operator.encoder.Encoder|flare.util.palette.Palette|flare.util.palette.ColorPalette|flare.vis.data.Data
flare.vis.operator.encoder.Encoder	4060	flare.animate.Transitioner|flare.vis.data.DataSprite|flare.vis.operator.Operator|flare.vis.data.ScaleBinding|flare.util.palette.Palette|flare.util.Filter|flare.util.Property|flare.vis.data.Data
flare.vis.operator.encoder.PropertyEncoder	4138	flare.animate.Transitioner|flare.vis.data.DataList|flare.vis.data.Data|flare.vis.operator.encoder.Encoder|flare.util.Filter|flare.vis.operator.Operator
flare.vis.operator.encoder.ShapeEncoder	1690	flare.util.palette.Palette|flare.scale.ScaleType|flare.util.palette.ShapePalette|flare.vis.operator.encoder.Encoder|flare.vis.data.Data
flare.vis.operator.encoder.SizeEncoder	1830	flare.util.palette.Palette|flare.scale.ScaleType|flare.vis.operator.encoder.Encoder|flare.util.palette.SizePalette|flare.vis.data.Data
flare.vis.operator.filter.FisheyeTreeFilter	5219	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.vis.data.DataSprite|flare.vis.data.EdgeSprite|flare.vis.data.Tree|flare.vis.operator.Operator|flare.vis.data.Data
flare.vis.operator.filter.GraphDistanceFilter	3165	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.vis.operator.Operator|flare.vis.data.DataSprite|flare.vis.data.EdgeSprite
flare.vis.operator.filter.VisibilityFilter	3509	flare.vis.operator.Operator|flare.animate.Transitioner|flare.util.Filter|flare.vis.data.DataSprite|flare.vis.data.Data
flare.vis.operator.IOperator	1286	flare.animate.Transitioner|flare.vis.Visualization|flare.vis.operator.Operator
flare.vis.operator.label.Labeler	9956	flare.animate.Transitioner|flare.vis.data.DataSprite|flare.display.TextSprite|flare.vis.operator.Operator|flare.util.Shapes|flare.util.Filter|flare.util.Property|flare.util.IEvaluable|flare.vis.data.Data
flare.vis.operator.label.RadialLabeler	3899	flare.vis.operator.label.Labeler|flare.util.Shapes|flare.display.TextSprite|flare.vis.data.DataSprite|flare.vis.data.Data
flare.vis.operator.label.StackedAreaLabeler	3202	flare.vis.operator.label.Labeler|flare.display.TextSprite|flare.vis.data.DataSprite|flare.vis.data.Data
flare.vis.operator.layout.AxisLayout	6725	flare.scale.ScaleType|flare.vis.data.DataSprite|flare.vis.axis.CartesianAxes|flare.vis.data.ScaleBinding|flare.util.Property|flare.vis.operator.layout.Layout|flare.vis.data.Data
flare.vis.operator.layout.BundledEdgeRouter	3727	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.util.Arrays|flare.vis.data.DataSprite|flare.vis.data.EdgeSprite|flare.util.Shapes|flare.vis.operator.layout.Layout|flare.vis.operator.Operator
flare.vis.operator.layout.CircleLayout	9317	flare.vis.data.NodeSprite|flare.vis.data.DataList|flare.vis.data.ScaleBinding|flare.util.Property|flare.vis.operator.layout.Layout|flare.vis.data.Data
flare.vis.operator.layout.CirclePackingLayout	12003	flare.vis.data.NodeSprite|flare.vis.data.render.ShapeRenderer|flare.util.Shapes|flare.util.Sort|flare.vis.operator.layout.Layout|flare.vis.data.Data
flare.vis.operator.layout.DendrogramLayout	4853	flare.util.Property|flare.vis.data.NodeSprite|flare.util.Orientation|flare.vis.operator.layout.Layout|flare.vis.data.EdgeSprite
flare.vis.operator.layout.ForceDirectedLayout	8411	flare.physics.Simulation|flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.vis.data.DataSprite|flare.physics.Particle|flare.physics.Spring|flare.vis.operator.layout.Layout|flare.vis.data.EdgeSprite|flare.vis.data.Data
flare.vis.operator.layout.IcicleTreeLayout	4864	flare.vis.data.NodeSprite|flare.util.Orientation|flare.vis.operator.layout.Layout
flare.vis.operator.layout.IndentedTreeLayout	3174	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.util.Arrays|flare.vis.operator.layout.Layout|flare.vis.data.EdgeSprite
flare.vis.operator.layout.Layout	7881	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.vis.data.DataList|flare.vis.data.DataSprite|flare.vis.data.EdgeSprite|flare.vis.Visualization|flare.vis.axis.CartesianAxes|flare.vis.axis.Axes|flare.animate.TransitionEvent|flare.vis.operator.Operator
flare.vis.operator.layout.NodeLinkTreeLayout	12870	flare.vis.data.NodeSprite|flare.util.Arrays|flare.util.Orientation|flare.vis.operator.layout.Layout
flare.vis.operator.layout.PieLayout	2728	flare.vis.data.DataList|flare.vis.data.DataSprite|flare.util.Shapes|flare.util.Property|flare.vis.operator.layout.Layout|flare.vis.data.Data
flare.vis.operator.layout.RadialTreeLayout	12348	flare.vis.data.NodeSprite|flare.util.Arrays|flare.vis.operator.layout.Layout
flare.vis.operator.layout.RandomLayout	870	flare.vis.operator.layout.Layout|flare.vis.data.DataSprite|flare.vis.data.Data
flare.vis.operator.layout.StackedAreaLayout	9121	flare.scale.TimeScale|flare.scale.LinearScale|flare.util.Arrays|flare.scale.OrdinalScale|flare.vis.data.NodeSprite|flare.scale.Scale|flare.vis.axis.CartesianAxes|flare.util.Stats|flare.util.Orientation|flare.scale.QuantitativeScale|flare.util.Maths|flare.vis.operator.layout.Layout
flare.vis.operator.layout.TreeMapLayout	9191	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.util.Property|flare.vis.operator.layout.Layout
flare.vis.operator.Operator	2490	flare.animate.Transitioner|flare.vis.operator.IOperator|flare.util.Property|flare.util.IEvaluable|flare.vis.Visualization
flare.vis.operator.OperatorList	5248	flare.animate.Transitioner|flare.util.Arrays|flare.vis.operator.IOperator|flare.vis.Visualization|flare.vis.operator.Operator
flare.vis.operator.OperatorSequence	4190	flare.animate.Transitioner|flare.util.Arrays|flare.vis.operator.IOperator|flare.vis.operator.OperatorList|flare.animate.FunctionSequence|flare.vis.operator.Operator
flare.vis.operator.OperatorSwitch	2581	flare.animate.Transitioner|flare.vis.operator.OperatorList|flare.vis.operator.IOperator|flare.vis.operator.Operator
flare.vis.operator.SortOperator	2023	flare.vis.operator.Operator|flare.animate.Transitioner|flare.util.Arrays|flare.vis.data.Data
flare.vis.Visualization	16540	flare.animate.Transitioner|flare.vis.operator.IOperator|flare.animate.Scheduler|flare.vis.events.VisualizationEvent|flare.vis.data.Tree|flare.vis.events.DataEvent|flare.vis.axis.Axes|flare.vis.axis.CartesianAxes|flare.util.Displays|flare.vis.operator.OperatorList|flare.vis.controls.ControlList|flare.animate.ISchedulable|flare.vis.data.Data
